N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Reward_std,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_violation,N_goal_reached,N_step_AVG,N_death,N_saved,N_death_by_end,Total_death,N_Total_episodes,N_break,Info_saved
570,2284,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,0.38680124282836914,7.370603270828724e-05,0.002901740139350295,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
580,2324,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0977528095245361,4.6030663725105114e-08,-2.251671139674727e-05,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
590,2364,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0989882946014404,7.105882104951888e-09,7.294349052244797e-05,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
600,2404,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0987706184387207,2.350641352677485e-07,0.00046791104250587523,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
610,2444,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0983662605285645,5.9510966821108013e-08,0.0002410179004073143,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
620,2484,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0986011028289795,1.4890588317939546e-07,-0.0004281743604224175,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
630,2524,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0988819599151611,5.086917553853709e-08,0.00024166930234059691,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
640,2564,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.098151445388794,1.8852688299375586e-08,-4.4647997128777206e-05,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
650,2604,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.3461793065071106,8.722261554794386e-05,0.0009833946824073792,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
660,2644,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6433596611022949,2.7870510166394524e-07,0.00013261093408800662,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
670,2684,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.0822429656982422,7.30774445401039e-08,0.00021049706265330315,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
680,2724,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.0994032621383667,2.1061623556306586e-08,-4.795270797330886e-05,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
